T1,T2,T3,T4,T5,T6,T7,T8,Target
325.6,24.1,7.38,225,-0.834,329,1200,2,7.49E-009
316,24.7,7.28,226,-0.81,334,1000,2,9.67E-009
316,20.5,7.28,226,-0.81,334,1000,2,7.85E-009
316,20.9,7.28,226,-0.81,334,1000,2,1.25E-008
316,26.4,7.28,226,-0.81,334,1000,2,2.28E-008
316,26.7,7.28,226,-0.81,334,1000,2,1.55E-008
350,101,9.19,819,-1.096,389,108,7,0.000000628
350,62.7,9.19,819,-1.096,389,108,7,0.000000354
330,96.6,8.71,868,-0.98,389,108,7,0.000000438
350,53.2,9.19,819,-1.096,389,108,7,0.000000322
350,51.4,9.19,819,-1.096,389,108,7,0.000000313
350,37.8,9.19,819,-1.096,389,108,7,0.000000196
350,23.8,9.19,819,-1.096,389,108,7,3.78E-008
330,81.4,8.15,1116,-0.928,389,1200,10,0.000000216
330,78.9,7.48,224,-0.844,389,1200,2,0.000000178
330,75.7,8.15,1116,-0.928,389,1200,10,0.000000244
330,57.1,8.15,1116,-0.928,389,1200,10,0.000000356
330,28.4,8.15,1116,-0.928,389,1200,10,0.000000113
330,59.6,7.48,224,-0.844,389,1200,2,0.000000123
330,38.7,7.48,224,-0.844,389,1200,2,0.000000074
330,55.3,6.21,12,-0.693,389,1200,0.1,1.43E-008
330,79.2,6.21,12,-0.693,389,1200,0.1,0.000000057
330,64.2,6.21,12,-0.693,389,1200,0.1,5.15E-008
330,90.7,6.21,12,-0.693,389,1200,0.1,0.000000109
330,82.2,5.96,1.8,-0.663,389,0.001,0,0.000000155
331,37.9,5.97,1.8,-0.665,389,0.001,0,5.63E-008
332,22.2,5.98,1.7,-0.667,389,0.001,0,0.00000004
333,13.6,5.99,1.7,-0.669,389,0.001,0,1.82E-009
330,13.5,7.48,224,-0.844,389,1200,2,0.00000003
330,13.6,8.15,1116,-0.928,389,1200,10,0.000000019
330,12.2,5.52,2.8,-0.61,389,1200,0,6.53E-009
330,23,5.52,2.8,-0.61,389,1200,0,0.000000014
330,53.4,5.52,2.8,-0.61,389,1200,0,0.000000091
330,4.6,5.52,2.8,-0.61,389,1200,0,1.6E-009
330,4.8,6.21,12,-0.693,389,1200,0.1,1.3E-009
330,42,6.21,12,-0.693,389,1200,0.1,5.26E-008
330,44,5.76,1.7,-0.639,389,300,0,4.26E-008
330,89,5.76,1.7,-0.639,389,300,0,0.000000138
330,10.2,5.76,1.7,-0.639,389,300,0,1.54E-009
330,10.5,8.01,257,-0.909,389,300,2.2,1.22E-009
330,84.5,8.01,257,-0.909,389,300,2.2,0.000000118
330,25.8,8.01,257,-0.909,389,300,2.2,3.63E-008
330,11.9,8.41,295,-0.96,389,0,2.2,1.27E-009
330,45,8.41,295,-0.96,389,0,2.2,6.43E-008
330,44.2,7.52,246,-0.849,389,1200,2.2,0.000000053
330,12.5,7.52,246,-0.849,389,1200,2.2,2.13E-009
330,94.4,7.52,246,-0.849,389,1200,2.2,0.00000019
330,15.5,7.99,396,-0.907,389,600,3.5,5.7E-009
330,42,7.99,396,-0.907,389,600,3.5,0.000000072
330,90,7.99,396,-0.907,389,600,3.5,0.000000159
330,90,7.53,392,-0.85,389,1800,3.5,0.000000128
330,91,7.53,392,-0.85,389,1800,3.5,0.000000137
330,81,7.48,224,-0.844,389,1200,2,0.0000001
331.1,22.1,7.42,201,-0.838,273.8,1315,1.8,0.000000002
290,32.9,6.9,224,-0.738,468,1000,2,2.78E-009
290,33.3,6.9,224,-0.738,468,1000,2,4.44E-009
290,32.8,6.9,224,-0.738,468,1000,2,4.17E-009
290,33.2,6.9,224,-0.738,468,1000,2,3.33E-009
325,31.1,7.45,225,-0.836,468,1000,2,1.89E-008
325,35.3,7.45,225,-0.836,468,1000,2,2.67E-008
325,29.9,7.45,225,-0.836,468,1000,2,8.33E-009
325,32,7.45,225,-0.836,468,1000,2,1.61E-008
360,20.6,8.37,207,-1,468,1000,2,0.000000119
360,21.5,8.37,207,-1,468,1000,2,0.000000111
