,y_weak
0,0.380165289256
1,0.0826446280992
2,0.876033057851
3,0.421487603306
4,0.95041322314
5,0.561983471074
6,1.0
7,0.735537190083
8,0.99173553719
9,0.0743801652893
10,0.561983471074
11,0.0330578512397
12,0.652892561983
13,0.933884297521
14,0.727272727273
15,0.132231404959
16,0.677685950413
17,0.388429752066
18,0.107438016529
19,0.504132231405
20,0.876033057851
21,0.181818181818
22,0.900826446281
23,0.0330578512397
24,0.685950413223
25,0.297520661157
26,0.545454545455
27,0.876033057851
28,0.471074380165
29,0.413223140496
30,0.553719008264
31,0.0247933884298
