,0,rf,adb,bagging,ext,gbt
0,1,0.258872526909,0.408,0.270356500254,0.250960468811,0.342412943508
1,2,0.0801566781932,0.146,0.0774904924749,0.0638711475913,0.0949804693603
2,3,0.13569793553,0.054,0.148364310075,0.142074980344,0.175437304049
3,4,0.161565641901,0.29,0.136990627709,0.138255708124,0.197927290545
4,5,0.021786788775,0.026,0.0276137244373,0.0203725830445,0.0377931875849
5,6,0.0201825631733,0.0,0.0120824639101,0.0183916772568,0.0126347885016
6,7,0.0146041144742,0.0,0.00705231253221,0.0217666692157,0.000392384824139
7,8,0.12139633264,0.01,0.154066108354,0.13432031345,0.0345829898449
8,9,0.0351751133905,0.044,0.0332535998469,0.0367271039536,0.0241301690258
9,10,0.0393110154457,0.002,0.0477513545513,0.0396437957099,0.0561525494437
10,11,0.0919935689224,0.004,0.07776946574,0.108668619081,0.0194493111934
11,12,0.0192577206454,0.016,0.00720904011551,0.0249469334193,0.00410661211909
